243|SYSTEM RESET|  12:13:10 AM Sunday, 06-June-2021 
244|CLEARED SUPERVISORY|Module L03M010|WATERFLOW S|  12:13:16 AM Sunday, 06-June-2021 L03M010
245|TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  12:13:43 AM Sunday, 06-June-2021 L03D004
246|ACKED TROUBLE|NO ANSWER|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  12:14:12 AM Sunday, 06-June-2021 L03D004
247|SYSTEM RESET|  12:14:25 AM Sunday, 06-June-2021 
248|CLEARED TROUBLE|LAB 1|Zone Z001|Z001|SMOKE(PHOTO)|  12:14:49 AM Sunday, 06-June-2021 L03D004
249|SYSTEM POWER UP|  12:21:15 AM Sunday, 06-June-2021 
250|TROUBL |Sys Initialization|  12:26:59 AM Sunday, 06-June-2021 
251|SYSTEM POWER UP|PLEASE WAIT|TROUBL |Sys Initialization|  12:34:40 AM Sunday, 06-June-2021 
252|TROUBL |Sys Initialization|  12:34:40 AM Sunday, 06-June-2021 
253| ACKNOWLEDGE|  12:35:00 AM Sunday, 06-June-2021 
254| SIGNAL SILENCED|  12:35:10 AM Sunday, 06-June-2021 
255|TROUBL |CHARGER FAIL|  12:35:17 AM Sunday, 06-June-2021 
256| ACKNOWLEDGE|  12:35:24 AM Sunday, 06-June-2021 
257|CLR TB |Sys Initialization|  12:35:29 AM Sunday, 06-June-2021 
258|ALARM: PULL_STATION FIRE WATER PUMP STAT07 GF TR 03|Z001|  12:35:38 AM Sunday, 06-June-2021 1M001
