"ATC-ALL FLOOR-PANEL-1 - LOOPS 1,2,3,4,5,6,7"|G100,,,,,,,,,,,,,
ADDRESS ID,AREA ID,ADDRESS,ADDRESS LABEL,ADDRESS LABEL,GAS STAGES,,,,,,,,
149,ZONE-10,N105L01D067,G100-GF-Y036-0101-SD-067,PRAYER ROOM TOILET,,,,,,,N105L01D067,1,
150,ZONE-10,N105L01D068,G100-GF-Y036-0101-SD-068,PRAYER ROOM TOILET,,,,,,,N105L01D068,1,
151,ZONE-12,N105L01D069,G100-GF-Y036-0101-SD-069,PRAYER ROOM,,,,,,,N105L01D069,1,
152,ZONE-12,N105L01D070,G100-GF-Y036-0101-SD-070,PRAYER ROOM,,,,,,,N105L01D070,1,
153,ZONE-12,N105L01D071,G100-GF-Y036-0101-SD-071,PRAYER ROOM,,,,,,,N105L01D071,1,
154,ZONE-12,N105L01D072,G100-GF-Y036-0101-SD-072,PRAYER ROOM,,,,,,,N105L01D072,1,
155,ZONE-10,N105L01D073,G100-GF-Y036-0101-SD-073,PRAYER VESTIBULE,,,,,,,N105L01D073,1,
156,ZONE-10,N105L01D074,G100-GF-Y036-0101-SD-074,PRAYER VESTIBULE,,,,,,,N105L01D074,1,
157,ZONE-10,N105L01D075,G100-GF-Y036-0101-SD-075,ABLUTIONS,,,,,,,N105L01D075,1,
158,ZONE-10,N105L01D076,G100-GF-Y036-0101-SD-076,ABLUTIONS,,,,,,,N105L01D076,1,
159,ZONE-12,N105L01D077,G100-GF-Y036-0101-SD-077,PRAYER ROOM,,,,,,,N105L01D077,1,
160,ZONE-12,N105L01D078,G100-GF-Y036-0101-SD-078,PRAYER ROOM,,,,,,,N105L01D078,1,
161,ZONE-12,N105L01M089,G100-GF-Y036-0101-MP-089,PRAYER ROOM,,,,,,,N105L01M089,1,
162,ZONE-12,N105L01M090,G100-GF-Y036-0101-RM-090,PRAYER ROOM,,,,,,,N105L01M090,1,
163,ZONE-10,N105L01D079,G100-GF-Y036-0101-SD-079,STORAGE,,,,,,,N105L01D079,1,
164,ZONE-15,N105L01D020,G100-GF-Y036-0101-SD-020,BUILDING DISTRIBUTOR UPS 02,,,,,,,N105L01D020,1,
165,ZONE-15,N105L01M069,G100-GF-Y036-0101-MM-069,BUILDING DISTRIBUTOR UPS 02,,,,,,,N105L01M069,1,
166,ZONE-16,N105L01D097,G100-GF-Y036-0101-LSD-097,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01D097,1,
167,ZONE-16,N105L01M073,G100-GF-Y036-0101-MM-073,BUILDING DISTRIBUTOR ROOM 02,"GS-Z1 ,STAGE 1 ALARM",,,,,,N105L01M073,1,
168,ZONE-16,N105L01M074,G100-GF-Y036-0101-MM-074,BUILDING DISTRIBUTOR ROOM 02,"GS-Z2,STAGE 2 ALARM",,,,,,N105L01M074,1,
169,ZONE-16,N105L01M075,G100-GF-Y036-0101-MM-075,BUILDING DISTRIBUTOR ROOM 02,"GS-GD,GAS DISCHARGE",,,,,,N105L01M075,1,
170,ZONE-16,N105L01M076,G100-GF-Y036-0101-MM-076,BUILDING DISTRIBUTOR ROOM 02,"GS-T,TROUBLE",,,,,,N105L01M076,1,
171,ZONE-16,N105L01M077,G100-GF-Y036-0101-CM-077,BUILDING DISTRIBUTOR ROOM 02,,,,,,,N105L01M077,1,
