LOAD CENTRE - A  GENERATOR PLANT| C110 ,,,,,,,,,,,,,,
ADDRESS ID,AREA ID,AL01DL01DRESS,ADDRESS LABEL, ROOM NO / ADDRESS LABEL, ROOM NO,ADDRESS LABEL,INTERFACE,,,,,,,
95,ZONE-02,N171L01M090,C110-GF-Y036-0201-MP-090,02-GF-CI-01 / CIRCULATION,02-GF-CI-01,CIRCULATION,,,,,,,,
96,ZONE-20,N171L02M001,C110-GF-Y036-0202-MM-001,02-GF-TR-09 / TRANSFORMER,02-GF-TR-09,TRANSFORMER,,,,,,,,
97,ZONE-20,N171L02M002,C110-GF-Y036-0202-MM-002,02-GF-TR-09 / TRANSFORMER,02-GF-TR-09,TRANSFORMER,,,,,,,,
98,ZONE-20,N171L02M003,C110-GF-Y036-0202-MM-003,02-GF-TR-09 / TRANSFORMER,02-GF-TR-09,TRANSFORMER,,,,,,,,
99,ZONE-20,N171L02M004,C110-GF-Y036-0202-MM-004,02-GF-TR-09 / TRANSFORMER,02-GF-TR-09,TRANSFORMER,,,,,,,,
100,ZONE-21,N171L02M005,C110-GF-Y036-0202-MM-005,02-GF-TR-10 / TRANSFORMER,02-GF-TR-10,TRANSFORMER,,,,,,,,
101,ZONE-21,N171L02M006,C110-GF-Y036-0202-MM-006,02-GF-TR-10 / TRANSFORMER,02-GF-TR-10,TRANSFORMER,,,,,,,,
102,ZONE-21,N171L02M007,C110-GF-Y036-0202-MM-007,02-GF-TR-10 / TRANSFORMER,02-GF-TR-10,TRANSFORMER,,,,,,,,
103,ZONE-21,N171L02M008,C110-GF-Y036-0202-MM-008,02-GF-TR-10 / TRANSFORMER,02-GF-TR-10,TRANSFORMER,,,,,,,,
104,ZONE-22,N171L02M009,C110-GF-Y036-0202-MM-009,02 GF TR 11 / ISO TRANSFORMER,02 GF TR 11,ISO TRANSFORMER,,,,,,,,
105,ZONE-22,N171L02M152,C110-GF-Y036-0202-MM-152,02 GF TR 11 / ISO TRANSFORMER,02 GF TR 11,ISO TRANSFORMER,,,,,,,,
106,ZONE-22,N171L02M153,C110-GF-Y036-0202-MM-153,02 GF TR 11 / ISO TRANSFORMER,02 GF TR 11,ISO TRANSFORMER,,,,,,,,
107,ZONE-22,N171L02M154,C110-GF-Y036-0202-MM-154,02 GF TR 11 / ISO TRANSFORMER,02 GF TR 11,ISO TRANSFORMER,,,,,,,,
108,ZONE-23,N171L02M010,C110-GF-Y036-0202-MM-010,02 GF TR 12 / ISO TRANSFORMER,02 GF TR 12,ISO TRANSFORMER,,,,,,,,
109,ZONE-23,N171L02M155,C110-GF-Y036-0202-MM-155,02 GF TR 12 / ISO TRANSFORMER,02 GF TR 12,ISO TRANSFORMER,,,,,,,,
110,ZONE-23,N171L02M156,C110-GF-Y036-0202-MM-156,02 GF TR 12 / ISO TRANSFORMER,02 GF TR 12,ISO TRANSFORMER,,,,,,,,
111,ZONE-23,N171L02M157,C110-GF-Y036-0202-MM-157,02 GF TR 12 / ISO TRANSFORMER,02 GF TR 12,ISO TRANSFORMER,,,,,,,,
112,ZONE-24,N171L02M011,C110-GF-Y036-0202-MM-011,02 GF TR 13 / ISO TRANSFORMER,02 GF TR 13,ISO TRANSFORMER,,,,,,,,
113,ZONE-24,N171L02M012,C110-GF-Y036-0202-MM-012,02 GF TR 13 / ISO TRANSFORMER,02 GF TR 13,ISO TRANSFORMER,,,,,,,,
114,ZONE-24,N171L02M066,C110-GF-Y036-0202-MM-066,02 GF TR 13 / ISO TRANSFORMER,02 GF TR 13,ISO TRANSFORMER,,,,,,,,
115,ZONE-24,N171L02M067,C110-GF-Y036-0202-MM-067,02 GF TR 13 / ISO TRANSFORMER,02 GF TR 13,ISO TRANSFORMER,,,,,,,,
116,ZONE-16,N171L02M013,C110-GF-Y036-0202-MP-013,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
117,ZONE-16,N171L02M014,C110-GF-Y036-0202-MM-014,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
118,ZONE-16,N171L02M015,C110-GF-Y036-0202-MM-015,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
119,ZONE-16,N171L02M023,C110-GF-Y036-0202-MM-023,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
120,ZONE-16,N171L02M080,C110-GF-Y036-0202-MM-080,02-GF-CI-04 / CIRCULATION,02-GF-CI-04,CIRCULATION,,,,,,,,
